59@46@;2954;평균온도;습도;정압;음수량[1];15분음수량[1];s1[1];s2[2];s3[3]
2026-06-29;오후 10:08:30;24.6;90;25;2580;30;24.6;24.1;24.9
2026-06-29;오후 10:09:30;24.7;90;26;2585;30;24.7;24.2;25.0
2026-06-29;오후 10:10:30;24.7;90;28;2590;30;24.8;24.2;25.0
2026-06-29;오후 10:11:30;24.8;90;30;2595;30;24.8;24.3;25.1
2026-06-29;오후 10:12:30;24.8;90;29;2600;30;24.9;24.3;25.1
2026-06-29;오후 10:13:30;24.8;90;29;2600;30;24.9;24.3;25.2
2026-06-29;오후 10:14:30;24.8;90;29;2600;30;24.9;24.3;25.2
2026-06-29;오후 10:15:30;24.9;90;0;2600;30;24.9;24.6;25.1
2026-06-29;오후 10:16:30;25.3;90;0;2610;30;25.3;25.2;25.5
