59@46@;2954;평균온도;습도;정압;음수량[1];15분음수량[1];s1[1];s2[2];s3[3]
2026-06-29;오후 10:08:30;27.2;5;25;7200;70;25.8;27.9;-100.0
2026-06-29;오후 10:09:30;27.3;5;26;7205;70;25.9;28.0;-100.0
2026-06-29;오후 10:10:30;27.4;5;27;7210;70;26.0;28.1;-100.0
2026-06-29;오후 10:11:30;27.5;5;27;7215;70;26.1;28.2;-100.0
2026-06-29;오후 10:12:30;27.6;5;27;7220;70;26.1;28.3;-100.0
2026-06-29;오후 10:13:30;27.6;5;27;7225;70;26.2;28.3;-100.0
2026-06-29;오후 10:14:30;27.6;5;27;7230;70;26.2;28.3;-100.0
2026-06-29;오후 10:15:30;27.3;5;27;7240;70;25.8;27.9;-100.0
2026-06-29;오후 10:16:30;26.8;5;27;7240;70;25.6;27.4;-100.0
